* Measurement data saved by REW V5.13 Beta 7
* Source: Microphone (Umik-1  Gain: 18dB  ), MICROPHONE (Master Volume), Left channel, volume: 0.530
* Format:   1M Log Swept Sine, 1 sweep at -23.0 dB FS
* Dated: 12-Sep-2015 19:46:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Sep 12 19:46:57
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
224.487 97.300 -16.029
224.854 97.348 -16.888
225.220 97.365 -18.060
225.586 97.344 -19.518
225.952 97.278 -21.228
226.318 97.160 -23.146
226.685 96.985 -25.215
227.051 96.749 -27.376
227.417 96.455 -29.586
227.783 96.105 -31.843
228.149 95.700 -34.204
228.516 95.225 -36.775
228.882 94.649 -39.658
229.248 93.919 -42.888
229.614 92.960 -46.359
229.980 91.672 -49.754
230.347 89.926 -52.410
230.713 87.531 -52.899
231.079 84.235 -47.547
231.445 80.334 -25.729
231.812 79.947 16.903
232.178 83.389 40.642
232.544 86.351 47.434
232.910 88.446 48.372
233.276 89.937 47.240
233.643 91.023 45.391
234.009 91.833 43.365
234.375 92.450 41.369
234.741 92.929 39.459
235.107 93.299 37.640
235.474 93.577 35.922
235.840 93.771 34.350
236.206 93.894 32.995
236.572 93.960 31.924
236.938 93.987 31.173
237.305 93.994 30.728
237.671 93.991 30.543
238.037 93.985 30.570
238.403 93.977 30.793
238.770 93.970 31.231
239.136 93.976 31.906
239.502 94.008 32.799
239.868 94.082 33.830
240.234 94.203 34.873
240.601 94.366 35.815
240.967 94.561 36.596
241.333 94.782 37.205
241.699 95.029 37.623
242.065 95.305 37.775
242.432 95.604 37.525
242.798 95.904 36.739
243.164 96.167 35.365
243.530 96.352 33.490
243.896 96.426 31.332
244.263 96.372 29.206
244.629 96.194 27.469
244.995 95.922 26.465
245.361 95.608 26.444
245.728 95.325 27.467
246.094 95.147 29.323
246.460 95.118 31.554
246.826 95.236 33.629
247.192 95.454 35.175
247.559 95.718 36.085
247.925 95.985 36.458
248.291 96.240 36.449
248.657 96.486 36.141
249.023 96.729 35.506
249.390 96.959 34.438
249.756 97.151 32.865
250.122 97.269 30.834
250.488 97.280 28.531
250.854 97.168 26.242
251.221 96.939 24.283
251.587 96.622 22.917
251.953 96.255 22.294
252.319 95.883 22.420
252.686 95.538 23.190
253.052 95.238 24.473
253.418 94.990 26.168
253.784 94.805 28.204
254.150 94.696 30.480
254.517 94.671 32.837
254.883 94.726 35.084
255.249 94.843 37.074
255.615 94.997 38.758
255.981 95.168 40.173
256.348 95.348 41.398
256.714 95.539 42.495
257.080 95.747 43.483
257.446 95.980 44.330
257.812 96.241 44.961
